States,Regions,latitude,longitude,Dates,Usage
West Bengal,ER,22.58039044,88.32994665,"08 April, 2019",109.7
West Bengal,ER,22.58039044,88.32994665,"09 April, 2019",109.3
West Bengal,ER,22.58039044,88.32994665,"10 April, 2019",115.4
West Bengal,ER,22.58039044,88.32994665,"11 April, 2019",113
West Bengal,ER,22.58039044,88.32994665,"12 April, 2019",109.4
West Bengal,ER,22.58039044,88.32994665,"13 April, 2019",183.4
West Bengal,ER,22.58039044,88.32994665,"14 April, 2019",195.2
West Bengal,ER,22.58039044,88.32994665,"15 April, 2019",181.6
West Bengal,ER,22.58039044,88.32994665,"16 April, 2019",182.4
West Bengal,ER,22.58039044,88.32994665,"17 April, 2019",175.9
West Bengal,ER,22.58039044,88.32994665,"18 April, 2019",176.3
West Bengal,ER,22.58039044,88.32994665,"19 April, 2019",162.5
West Bengal,ER,22.58039044,88.32994665,"20 April, 2019",116.3
West Bengal,ER,22.58039044,88.32994665,"21 April, 2019",113.5
West Bengal,ER,22.58039044,88.32994665,"22 April, 2019",115.4
West Bengal,ER,22.58039044,88.32994665,"23 April, 2019",119.7
West Bengal,ER,22.58039044,88.32994665,"24 April, 2019",119.9
West Bengal,ER,22.58039044,88.32994665,"25 April, 2019",120.5
West Bengal,ER,22.58039044,88.32994665,"26 April, 2019",111.1
West Bengal,ER,22.58039044,88.32994665,"27 April, 2019",106.8
West Bengal,ER,22.58039044,88.32994665,"28 April, 2019",111.8
West Bengal,ER,22.58039044,88.32994665,"29 April, 2019",110.3
West Bengal,ER,22.58039044,88.32994665,"30 April, 2019",109.6
West Bengal,ER,22.58039044,88.32994665,"02 May, 2019",107
West Bengal,ER,22.58039044,88.32994665,"03 May, 2019",111.1
West Bengal,ER,22.58039044,88.32994665,"04 May, 2019",100.7
West Bengal,ER,22.58039044,88.32994665,"05 May, 2019",166.7
West Bengal,ER,22.58039044,88.32994665,"06 May, 2019",153.1
West Bengal,ER,22.58039044,88.32994665,"07 May, 2019",139.1
West Bengal,ER,22.58039044,88.32994665,"08 May, 2019",142.8
West Bengal,ER,22.58039044,88.32994665,"09 May, 2019",140.9
West Bengal,ER,22.58039044,88.32994665,"10 May, 2019",133.4
West Bengal,ER,22.58039044,88.32994665,"11 May, 2019",122.6
West Bengal,ER,22.58039044,88.32994665,"12 May, 2019",194.3
West Bengal,ER,22.58039044,88.32994665,"13 May, 2019",192.2
West Bengal,ER,22.58039044,88.32994665,"14 May, 2019",180.5
West Bengal,ER,22.58039044,88.32994665,"15 May, 2019",174.5
West Bengal,ER,22.58039044,88.32994665,"16 May, 2019",172.5
West Bengal,ER,22.58039044,88.32994665,"17 May, 2019",166
West Bengal,ER,22.58039044,88.32994665,"18 May, 2019",151.3
